age,age_basket,job,marital,education,balance,balance_basket,default,housing,loan,contact,day,month,duration,duration_mins,duration_bucket,campaign,campaign_capped,pdays,previous,poutcome,term_deposit,term_deposit_numeric
51,50-66,unknown,married,unknown,12,Low (0-500),no,no,no,unknown,11,jun,45,0.75,<1 min,1,1,-1,0,unknown,no,0
59,50-66,retired,married,unknown,1033,Medium (500-2K),no,no,no,unknown,11,jun,1199,19.98,10+ mins,1,1,-1,0,unknown,yes,1
40,35-49,admin.,divorced,secondary,6,Low (0-500),no,no,no,unknown,11,jun,140,2.33,1-3 mins,1,1,-1,0,unknown,no,0
58,50-66,housemaid,married,secondary,4840,High (2K+),no,no,no,unknown,11,jun,366,6.1,5-10 mins,1,1,-1,0,unknown,no,0
35,35-49,services,married,secondary,2135,High (2K+),no,no,no,unknown,11,jun,436,7.27,5-10 mins,1,1,-1,0,unknown,no,0
37,35-49,blue-collar,single,primary,914,Medium (500-2K),no,no,no,unknown,11,jun,72,1.2,1-3 mins,1,1,-1,0,unknown,no,0
56,50-66,unknown,divorced,primary,558,Medium (500-2K),no,no,no,unknown,11,jun,119,1.98,1-3 mins,1,1,-1,0,unknown,no,0
52,50-66,housemaid,married,primary,3283,High (2K+),no,no,no,unknown,11,jun,553,9.22,5-10 mins,1,1,-1,0,unknown,no,0
56,50-66,blue-collar,married,secondary,1210,Medium (500-2K),no,no,no,unknown,11,jun,935,15.58,10+ mins,1,1,-1,0,unknown,yes,1
53,50-66,technician,married,tertiary,431,Low (0-500),no,yes,no,unknown,11,jun,74,1.23,1-3 mins,1,1,-1,0,unknown,no,0
45,35-49,unknown,married,primary,44,Low (0-500),no,no,no,unknown,11,jun,81,1.35,1-3 mins,1,1,-1,0,unknown,no,0
49,35-49,management,married,tertiary,64,Low (0-500),no,no,no,unknown,11,jun,586,9.77,5-10 mins,1,1,-1,0,unknown,yes,1
41,35-49,housemaid,single,primary,1179,Medium (500-2K),no,yes,no,unknown,11,jun,950,15.83,10+ mins,4,4,-1,0,unknown,no,0
47,35-49,blue-collar,married,secondary,303,Low (0-500),no,no,no,unknown,11,jun,261,4.35,3-5 mins,1,1,-1,0,unknown,no,0
50,50-66,blue-collar,married,tertiary,676,Medium (500-2K),no,no,no,unknown,11,jun,159,2.65,1-3 mins,1,1,-1,0,unknown,no,0
43,35-49,admin.,divorced,secondary,57,Low (0-500),no,no,no,unknown,11,jun,46,0.77,<1 min,1,1,-1,0,unknown,no,0
40,35-49,unemployed,divorced,secondary,0,Negative,no,no,no,unknown,11,jun,473,7.88,5-10 mins,1,1,-1,0,unknown,no,0
38,35-49,blue-collar,married,primary,8637,High (2K+),no,yes,no,unknown,11,jun,119,1.98,1-3 mins,1,1,-1,0,unknown,no,0
35,35-49,blue-collar,divorced,unknown,164,Low (0-500),no,no,no,unknown,11,jun,967,16.12,10+ mins,2,2,-1,0,unknown,yes,1
36,35-49,management,single,tertiary,0,Negative,no,no,no,unknown,11,jun,33,0.55,<1 min,1,1,-1,0,unknown,no,0
38,35-49,services,married,secondary,433,Low (0-500),no,no,no,unknown,11,jun,148,2.47,1-3 mins,1,1,-1,0,unknown,no,0
45,35-49,management,married,tertiary,1866,Medium (500-2K),no,no,no,unknown,11,jun,116,1.93,1-3 mins,7,7,-1,0,unknown,no,0
58,50-66,unknown,married,unknown,0,Negative,no,no,no,unknown,11,jun,464,7.73,5-10 mins,2,2,-1,0,unknown,no,0
38,35-49,blue-collar,married,secondary,-10,Negative,yes,no,no,unknown,11,jun,174,2.9,1-3 mins,1,1,-1,0,unknown,no,0
36,35-49,blue-collar,married,secondary,717,Medium (500-2K),no,no,no,unknown,11,jun,63,1.05,1-3 mins,1,1,-1,0,unknown,no,0
44,35-49,blue-collar,married,secondary,594,Medium (500-2K),no,no,no,unknown,11,jun,340,5.67,5-10 mins,1,1,-1,0,unknown,no,0
58,50-66,technician,married,primary,139,Low (0-500),no,no,no,unknown,11,jun,103,1.72,1-3 mins,1,1,-1,0,unknown,no,0
51,50-66,technician,married,secondary,13089,High (2K+),no,no,no,unknown,11,jun,247,4.12,3-5 mins,1,1,-1,0,unknown,no,0
40,35-49,blue-collar,single,primary,1780,Medium (500-2K),no,no,yes,unknown,11,jun,114,1.9,1-3 mins,1,1,-1,0,unknown,no,0
23,18-24,student,single,secondary,1284,Medium (500-2K),no,yes,no,unknown,11,jun,327,5.45,5-10 mins,10,10,-1,0,unknown,no,0
50,50-66,blue-collar,married,unknown,0,Negative,no,no,no,unknown,11,jun,249,4.15,3-5 mins,1,1,-1,0,unknown,no,0
45,35-49,housemaid,divorced,primary,544,Medium (500-2K),no,no,no,unknown,11,jun,110,1.83,1-3 mins,1,1,-1,0,unknown,no,0
49,35-49,blue-collar,divorced,secondary,1869,Medium (500-2K),no,no,yes,unknown,11,jun,257,4.28,3-5 mins,1,1,-1,0,unknown,no,0
55,50-66,retired,married,primary,8894,High (2K+),no,no,no,unknown,11,jun,262,4.37,3-5 mins,1,1,-1,0,unknown,no,0
40,35-49,blue-collar,married,secondary,11084,High (2K+),no,no,no,unknown,11,jun,113,1.88,1-3 mins,1,1,-1,0,unknown,no,0
45,35-49,technician,divorced,secondary,0,Negative,no,yes,yes,unknown,11,jun,127,2.12,1-3 mins,1,1,-1,0,unknown,no,0
45,35-49,self-employed,married,primary,750,Medium (500-2K),no,no,no,unknown,11,jun,183,3.05,3-5 mins,9,9,-1,0,unknown,no,0
48,35-49,admin.,married,secondary,155,Low (0-500),no,no,no,unknown,11,jun,222,3.7,3-5 mins,3,3,-1,0,unknown,no,0
56,50-66,blue-collar,married,secondary,0,Negative,no,no,no,unknown,11,jun,142,2.37,1-3 mins,2,2,-1,0,unknown,no,0
41,35-49,housemaid,divorced,secondary,637,Medium (500-2K),no,yes,yes,unknown,11,jun,678,11.3,10+ mins,4,4,-1,0,unknown,no,0
38,35-49,admin.,married,primary,464,Low (0-500),no,no,yes,unknown,11,jun,86,1.43,1-3 mins,2,2,-1,0,unknown,no,0
59,50-66,technician,married,tertiary,4445,High (2K+),no,no,no,unknown,11,jun,96,1.6,1-3 mins,7,7,-1,0,unknown,no,0
25,25-34,blue-collar,married,primary,-83,Negative,no,yes,no,unknown,11,jun,211,3.52,3-5 mins,17,10,-1,0,unknown,no,0
57,50-66,housemaid,married,primary,2234,High (2K+),no,no,no,unknown,11,jun,201,3.35,3-5 mins,5,5,-1,0,unknown,no,0
54,50-66,admin.,married,secondary,1326,Medium (500-2K),no,yes,no,unknown,11,jun,105,1.75,1-3 mins,2,2,-1,0,unknown,no,0
36,35-49,services,married,secondary,24,Low (0-500),no,yes,yes,unknown,11,jun,100,1.67,1-3 mins,5,5,-1,0,unknown,no,0
36,35-49,unemployed,single,tertiary,9019,High (2K+),no,yes,no,unknown,11,jun,952,15.87,10+ mins,3,3,-1,0,unknown,no,0
36,35-49,services,married,secondary,2153,High (2K+),no,no,no,unknown,11,jun,181,3.02,3-5 mins,2,2,-1,0,unknown,no,0
48,35-49,management,married,secondary,397,Low (0-500),no,no,no,unknown,11,jun,389,6.48,5-10 mins,6,6,-1,0,unknown,no,0
39,35-49,retired,married,secondary,-160,Negative,no,yes,no,unknown,11,jun,203,3.38,3-5 mins,4,4,-1,0,unknown,no,0
32,25-34,management,single,tertiary,1160,Medium (500-2K),no,yes,yes,unknown,11,jun,450,7.5,5-10 mins,2,2,-1,0,unknown,no,0
43,35-49,entrepreneur,married,tertiary,396,Low (0-500),no,no,no,unknown,11,jun,105,1.75,1-3 mins,3,3,-1,0,unknown,no,0
36,35-49,management,married,tertiary,336,Low (0-500),no,no,no,unknown,11,jun,178,2.97,1-3 mins,7,7,-1,0,unknown,no,0
59,50-66,management,married,tertiary,7049,High (2K+),no,no,no,unknown,11,jun,647,10.78,10+ mins,2,2,-1,0,unknown,no,0
42,35-49,self-employed,married,tertiary,2821,High (2K+),no,no,no,unknown,11,jun,203,3.38,3-5 mins,2,2,-1,0,unknown,no,0
37,35-49,admin.,single,secondary,1560,Medium (500-2K),no,yes,no,unknown,11,jun,203,3.38,3-5 mins,2,2,-1,0,unknown,no,0
28,25-34,technician,single,tertiary,-803,Negative,no,yes,yes,unknown,11,jun,222,3.7,3-5 mins,9,9,-1,0,unknown,no,0
40,35-49,services,married,secondary,376,Low (0-500),no,yes,yes,unknown,11,jun,268,4.47,3-5 mins,2,2,-1,0,unknown,no,0
41,35-49,management,married,tertiary,6204,High (2K+),no,no,yes,unknown,11,jun,148,2.47,1-3 mins,2,2,-1,0,unknown,no,0
44,35-49,management,single,tertiary,825,Medium (500-2K),no,yes,no,unknown,11,jun,427,7.12,5-10 mins,2,2,-1,0,unknown,no,0
42,35-49,blue-collar,married,unknown,8600,High (2K+),no,no,no,unknown,11,jun,90,1.5,1-3 mins,9,9,-1,0,unknown,no,0
41,35-49,unknown,single,unknown,1259,Medium (500-2K),no,no,no,unknown,11,jun,177,2.95,1-3 mins,8,8,-1,0,unknown,no,0
55,50-66,housemaid,married,primary,0,Negative,no,no,no,unknown,11,jun,306,5.1,5-10 mins,3,3,-1,0,unknown,no,0
60,50-66,housemaid,married,secondary,3587,High (2K+),no,no,no,unknown,11,jun,133,2.22,1-3 mins,2,2,-1,0,unknown,no,0
48,35-49,technician,married,tertiary,2369,High (2K+),no,no,no,unknown,11,jun,516,8.6,5-10 mins,2,2,-1,0,unknown,no,0
58,50-66,management,married,tertiary,313,Low (0-500),no,no,no,unknown,11,jun,204,3.4,3-5 mins,2,2,-1,0,unknown,no,0
56,50-66,retired,married,primary,0,Negative,no,no,no,unknown,11,jun,188,3.13,3-5 mins,2,2,-1,0,unknown,no,0
51,50-66,retired,married,primary,2525,High (2K+),no,no,no,unknown,11,jun,184,3.07,3-5 mins,2,2,-1,0,unknown,no,0
37,35-49,entrepreneur,single,tertiary,108,Low (0-500),no,no,no,unknown,11,jun,157,2.62,1-3 mins,6,6,-1,0,unknown,no,0
49,35-49,services,single,secondary,133,Low (0-500),no,no,no,unknown,11,jun,319,5.32,5-10 mins,6,6,-1,0,unknown,no,0
58,50-66,retired,married,primary,5092,High (2K+),no,no,no,unknown,11,jun,199,3.32,3-5 mins,6,6,-1,0,unknown,no,0
36,35-49,unemployed,married,secondary,1766,Medium (500-2K),no,no,no,unknown,11,jun,595,9.92,5-10 mins,2,2,-1,0,unknown,yes,1
41,35-49,entrepreneur,married,secondary,2480,High (2K+),no,yes,no,unknown,11,jun,394,6.57,5-10 mins,2,2,-1,0,unknown,no,0
43,35-49,retired,married,primary,7298,High (2K+),no,no,no,unknown,11,jun,36,0.6,<1 min,2,2,-1,0,unknown,no,0
45,35-49,unknown,married,unknown,360,Low (0-500),no,no,no,unknown,11,jun,157,2.62,1-3 mins,9,9,-1,0,unknown,no,0
37,35-49,management,single,tertiary,-119,Negative,no,yes,no,unknown,11,jun,375,6.25,5-10 mins,11,10,-1,0,unknown,no,0
39,35-49,admin.,single,tertiary,23,Low (0-500),no,no,no,unknown,11,jun,162,2.7,1-3 mins,3,3,-1,0,unknown,no,0
36,35-49,blue-collar,married,secondary,219,Low (0-500),no,no,no,unknown,11,jun,47,0.78,<1 min,7,7,-1,0,unknown,no,0
46,35-49,unknown,married,primary,285,Low (0-500),no,no,no,unknown,11,jun,215,3.58,3-5 mins,2,2,-1,0,unknown,no,0
57,50-66,management,married,tertiary,1571,Medium (500-2K),no,no,no,unknown,11,jun,230,3.83,3-5 mins,13,10,-1,0,unknown,no,0
40,35-49,services,married,secondary,1325,Medium (500-2K),no,no,no,unknown,11,jun,150,2.5,1-3 mins,2,2,-1,0,unknown,no,0
37,35-49,blue-collar,married,primary,587,Medium (500-2K),no,no,no,unknown,11,jun,126,2.1,1-3 mins,2,2,-1,0,unknown,no,0
35,35-49,technician,single,tertiary,18,Low (0-500),no,yes,yes,unknown,11,jun,111,1.85,1-3 mins,10,10,-1,0,unknown,no,0
45,35-49,services,married,primary,116,Low (0-500),no,yes,no,unknown,11,jun,287,4.78,3-5 mins,3,3,-1,0,unknown,no,0
56,50-66,housemaid,single,primary,1,Low (0-500),no,no,no,unknown,11,jun,83,1.38,1-3 mins,2,2,-1,0,unknown,no,0
35,35-49,management,married,tertiary,810,Medium (500-2K),no,no,no,unknown,11,jun,124,2.07,1-3 mins,4,4,-1,0,unknown,no,0
54,50-66,retired,married,secondary,3671,High (2K+),no,no,no,unknown,11,jun,67,1.12,1-3 mins,3,3,-1,0,unknown,no,0
51,50-66,entrepreneur,single,tertiary,15,Low (0-500),yes,no,no,unknown,11,jun,104,1.73,1-3 mins,2,2,-1,0,unknown,no,0
39,35-49,self-employed,married,tertiary,0,Negative,no,no,no,unknown,11,jun,904,15.07,10+ mins,4,4,-1,0,unknown,no,0
38,35-49,services,divorced,primary,188,Low (0-500),no,no,no,unknown,11,jun,597,9.95,5-10 mins,10,10,-1,0,unknown,no,0
49,35-49,admin.,married,secondary,1788,Medium (500-2K),no,yes,no,unknown,11,jun,274,4.57,3-5 mins,2,2,-1,0,unknown,no,0
38,35-49,blue-collar,single,tertiary,797,Medium (500-2K),no,yes,no,unknown,11,jun,124,2.07,1-3 mins,4,4,-1,0,unknown,no,0
32,25-34,technician,divorced,secondary,2,Low (0-500),no,yes,no,unknown,11,jun,354,5.9,5-10 mins,17,10,-1,0,unknown,no,0
57,50-66,admin.,married,secondary,5888,High (2K+),no,no,yes,unknown,11,jun,288,4.8,3-5 mins,3,3,-1,0,unknown,no,0
41,35-49,self-employed,single,tertiary,1755,Medium (500-2K),no,no,no,unknown,11,jun,152,2.53,1-3 mins,10,10,-1,0,unknown,no,0
40,35-49,admin.,single,tertiary,1248,Medium (500-2K),no,no,no,unknown,11,jun,1290,21.5,10+ mins,2,2,-1,0,unknown,yes,1
44,35-49,blue-collar,married,primary,321,Low (0-500),no,yes,no,unknown,11,jun,59,0.98,<1 min,8,8,-1,0,unknown,no,0
45,35-49,services,married,secondary,1306,Medium (500-2K),no,no,no,unknown,11,jun,125,2.08,1-3 mins,3,3,-1,0,unknown,no,0
52,50-66,admin.,married,secondary,4233,High (2K+),no,no,no,unknown,11,jun,158,2.63,1-3 mins,2,2,-1,0,unknown,no,0
36,35-49,blue-collar,married,secondary,1704,Medium (500-2K),no,no,no,unknown,11,jun,179,2.98,1-3 mins,4,4,-1,0,unknown,no,0
52,50-66,unemployed,married,unknown,83,Low (0-500),no,yes,no,unknown,11,jun,26,0.43,<1 min,29,10,-1,0,unknown,no,0
36,35-49,admin.,divorced,secondary,0,Negative,no,no,no,unknown,11,jun,203,3.38,3-5 mins,3,3,-1,0,unknown,no,0
58,50-66,housemaid,married,tertiary,497,Low (0-500),no,no,no,unknown,11,jun,138,2.3,1-3 mins,5,5,-1,0,unknown,no,0
43,35-49,technician,single,secondary,59,Low (0-500),no,yes,no,unknown,11,jun,107,1.78,1-3 mins,19,10,-1,0,unknown,no,0
48,35-49,blue-collar,married,primary,3304,High (2K+),no,no,no,unknown,11,jun,409,6.82,5-10 mins,3,3,-1,0,unknown,no,0
60,50-66,management,married,tertiary,79,Low (0-500),no,no,no,unknown,11,jun,48,0.8,<1 min,3,3,-1,0,unknown,no,0
29,25-34,admin.,single,secondary,171,Low (0-500),no,yes,no,unknown,11,jun,83,1.38,1-3 mins,10,10,-1,0,unknown,no,0
37,35-49,blue-collar,married,primary,-142,Negative,yes,no,no,unknown,11,jun,199,3.32,3-5 mins,3,3,-1,0,unknown,no,0
40,35-49,services,single,secondary,316,Low (0-500),no,no,no,unknown,11,jun,122,2.03,1-3 mins,5,5,-1,0,unknown,no,0
31,25-34,blue-collar,married,secondary,30,Low (0-500),no,yes,no,unknown,11,jun,172,2.87,1-3 mins,14,10,-1,0,unknown,no,0
40,35-49,blue-collar,married,primary,5560,High (2K+),no,yes,no,unknown,11,jun,93,1.55,1-3 mins,3,3,-1,0,unknown,no,0
36,35-49,blue-collar,married,primary,272,Low (0-500),no,no,no,unknown,11,jun,222,3.7,3-5 mins,2,2,-1,0,unknown,no,0
36,35-49,admin.,married,secondary,0,Negative,no,no,no,unknown,11,jun,378,6.3,5-10 mins,4,4,-1,0,unknown,no,0
51,50-66,blue-collar,married,primary,2995,High (2K+),no,yes,no,unknown,11,jun,93,1.55,1-3 mins,2,2,-1,0,unknown,no,0
55,50-66,management,married,tertiary,10957,High (2K+),no,no,no,unknown,11,jun,514,8.57,5-10 mins,4,4,-1,0,unknown,no,0
44,35-49,technician,married,tertiary,1454,Medium (500-2K),no,no,no,unknown,11,jun,156,2.6,1-3 mins,2,2,-1,0,unknown,no,0
48,35-49,admin.,married,secondary,13551,High (2K+),no,no,no,unknown,11,jun,89,1.48,1-3 mins,3,3,-1,0,unknown,no,0
59,50-66,retired,single,secondary,2432,High (2K+),no,no,no,unknown,11,jun,236,3.93,3-5 mins,2,2,-1,0,unknown,no,0
47,35-49,management,single,tertiary,0,Negative,no,no,no,unknown,11,jun,58,0.97,<1 min,3,3,-1,0,unknown,no,0
42,35-49,blue-collar,married,primary,530,Medium (500-2K),no,no,no,unknown,11,jun,850,14.17,10+ mins,8,8,-1,0,unknown,no,0
40,35-49,technician,married,secondary,240,Low (0-500),no,no,no,unknown,12,jun,68,1.13,1-3 mins,4,4,-1,0,unknown,no,0
39,35-49,blue-collar,married,unknown,2952,High (2K+),no,yes,no,unknown,12,jun,307,5.12,5-10 mins,2,2,-1,0,unknown,no,0
40,35-49,blue-collar,divorced,secondary,181,Low (0-500),no,no,no,unknown,12,jun,89,1.48,1-3 mins,6,6,-1,0,unknown,no,0
56,50-66,technician,married,secondary,225,Low (0-500),no,yes,no,unknown,12,jun,71,1.18,1-3 mins,12,10,-1,0,unknown,no,0
47,35-49,management,married,unknown,0,Negative,no,no,no,unknown,12,jun,77,1.28,1-3 mins,3,3,-1,0,unknown,no,0
34,25-34,blue-collar,married,secondary,352,Low (0-500),no,yes,no,unknown,12,jun,52,0.87,<1 min,3,3,-1,0,unknown,no,0
38,35-49,blue-collar,married,secondary,2342,High (2K+),no,no,no,unknown,12,jun,136,2.27,1-3 mins,2,2,-1,0,unknown,no,0
37,35-49,unemployed,single,tertiary,1706,Medium (500-2K),no,no,no,unknown,12,jun,542,9.03,5-10 mins,3,3,-1,0,unknown,no,0
38,35-49,blue-collar,single,primary,1691,Medium (500-2K),no,no,no,unknown,12,jun,265,4.42,3-5 mins,3,3,-1,0,unknown,no,0
52,50-66,management,divorced,tertiary,50,Low (0-500),no,yes,no,unknown,12,jun,84,1.4,1-3 mins,3,3,-1,0,unknown,no,0
35,35-49,blue-collar,married,secondary,728,Medium (500-2K),no,yes,no,unknown,12,jun,410,6.83,5-10 mins,16,10,-1,0,unknown,no,0
31,25-34,technician,single,secondary,1094,Medium (500-2K),no,yes,no,unknown,12,jun,93,1.55,1-3 mins,8,8,-1,0,unknown,no,0
37,35-49,management,single,tertiary,8828,High (2K+),no,no,no,unknown,12,jun,1010,16.83,10+ mins,3,3,-1,0,unknown,yes,1
53,50-66,self-employed,divorced,tertiary,1841,Medium (500-2K),no,no,no,unknown,12,jun,403,6.72,5-10 mins,5,5,-1,0,unknown,no,0
45,35-49,management,married,tertiary,3370,High (2K+),no,no,no,unknown,12,jun,36,0.6,<1 min,3,3,-1,0,unknown,no,0
44,35-49,services,single,secondary,106,Low (0-500),no,no,no,unknown,12,jun,109,1.82,1-3 mins,2,2,-1,0,unknown,no,0
49,35-49,unknown,married,primary,142,Low (0-500),no,no,no,unknown,12,jun,90,1.5,1-3 mins,3,3,-1,0,unknown,no,0
37,35-49,blue-collar,married,secondary,1590,Medium (500-2K),no,no,no,unknown,12,jun,305,5.08,5-10 mins,2,2,-1,0,unknown,no,0
39,35-49,management,married,unknown,4800,High (2K+),no,no,no,unknown,12,jun,135,2.25,1-3 mins,3,3,-1,0,unknown,no,0
55,50-66,blue-collar,married,secondary,0,Negative,no,no,no,unknown,12,jun,614,10.23,10+ mins,2,2,-1,0,unknown,yes,1
46,35-49,services,married,secondary,6913,High (2K+),no,no,no,unknown,12,jun,781,13.02,10+ mins,2,2,-1,0,unknown,no,0
38,35-49,technician,married,tertiary,0,Negative,no,no,no,unknown,12,jun,112,1.87,1-3 mins,2,2,-1,0,unknown,no,0
55,50-66,admin.,married,secondary,3664,High (2K+),no,no,yes,unknown,12,jun,423,7.05,5-10 mins,2,2,-1,0,unknown,no,0
39,35-49,services,married,secondary,257,Low (0-500),no,yes,no,unknown,12,jun,171,2.85,1-3 mins,1,1,-1,0,unknown,no,0
46,35-49,blue-collar,married,primary,642,Medium (500-2K),no,no,no,unknown,12,jun,110,1.83,1-3 mins,4,4,-1,0,unknown,no,0
53,50-66,retired,married,secondary,340,Low (0-500),no,yes,no,unknown,12,jun,138,2.3,1-3 mins,1,1,-1,0,unknown,no,0
40,35-49,entrepreneur,married,secondary,2252,High (2K+),no,no,no,unknown,12,jun,144,2.4,1-3 mins,1,1,-1,0,unknown,no,0
37,35-49,services,married,primary,0,Negative,no,yes,yes,unknown,12,jun,137,2.28,1-3 mins,1,1,-1,0,unknown,no,0
46,35-49,management,divorced,secondary,270,Low (0-500),no,no,no,unknown,12,jun,125,2.08,1-3 mins,1,1,-1,0,unknown,no,0
55,50-66,blue-collar,divorced,primary,215,Low (0-500),no,no,no,unknown,12,jun,202,3.37,3-5 mins,1,1,-1,0,unknown,no,0
56,50-66,blue-collar,divorced,primary,596,Medium (500-2K),no,no,no,unknown,12,jun,123,2.05,1-3 mins,1,1,-1,0,unknown,no,0
38,35-49,blue-collar,divorced,primary,0,Negative,no,no,no,unknown,12,jun,49,0.82,<1 min,2,2,-1,0,unknown,no,0
49,35-49,admin.,divorced,secondary,1709,Medium (500-2K),no,yes,no,unknown,12,jun,106,1.77,1-3 mins,1,1,-1,0,unknown,no,0
58,50-66,admin.,married,secondary,826,Medium (500-2K),no,no,no,unknown,12,jun,885,14.75,10+ mins,1,1,-1,0,unknown,yes,1
46,35-49,management,married,secondary,0,Negative,no,no,no,unknown,12,jun,155,2.58,1-3 mins,1,1,-1,0,unknown,no,0
41,35-49,services,married,secondary,4283,High (2K+),no,yes,no,unknown,12,jun,112,1.87,1-3 mins,1,1,-1,0,unknown,no,0
40,35-49,management,married,secondary,2596,High (2K+),no,no,no,unknown,12,jun,236,3.93,3-5 mins,1,1,-1,0,unknown,no,0
56,50-66,admin.,married,secondary,1290,Medium (500-2K),no,no,no,unknown,12,jun,243,4.05,3-5 mins,1,1,-1,0,unknown,no,0
45,35-49,blue-collar,married,primary,714,Medium (500-2K),no,no,no,unknown,12,jun,108,1.8,1-3 mins,1,1,-1,0,unknown,no,0
44,35-49,retired,married,secondary,2692,High (2K+),no,no,no,unknown,12,jun,583,9.72,5-10 mins,1,1,-1,0,unknown,no,0
57,50-66,retired,single,secondary,5305,High (2K+),no,no,no,unknown,12,jun,192,3.2,3-5 mins,1,1,-1,0,unknown,no,0
44,35-49,blue-collar,married,secondary,1671,Medium (500-2K),no,no,no,unknown,12,jun,149,2.48,1-3 mins,1,1,-1,0,unknown,no,0
35,35-49,unemployed,divorced,secondary,45,Low (0-500),no,no,no,unknown,12,jun,40,0.67,<1 min,6,6,-1,0,unknown,no,0
52,50-66,admin.,married,secondary,693,Medium (500-2K),no,no,no,unknown,12,jun,271,4.52,3-5 mins,1,1,-1,0,unknown,no,0
53,50-66,housemaid,divorced,secondary,292,Low (0-500),no,no,no,unknown,12,jun,92,1.53,1-3 mins,2,2,-1,0,unknown,no,0
47,35-49,services,married,secondary,440,Low (0-500),no,yes,no,unknown,12,jun,91,1.52,1-3 mins,1,1,-1,0,unknown,no,0
35,35-49,blue-collar,divorced,primary,0,Negative,no,no,no,unknown,12,jun,200,3.33,3-5 mins,1,1,-1,0,unknown,no,0
36,35-49,unemployed,married,primary,0,Negative,no,no,no,unknown,12,jun,107,1.78,1-3 mins,1,1,-1,0,unknown,no,0
44,35-49,services,married,secondary,938,Medium (500-2K),no,no,no,unknown,12,jun,406,6.77,5-10 mins,1,1,-1,0,unknown,no,0
46,35-49,technician,married,tertiary,53,Low (0-500),no,no,no,unknown,12,jun,12,0.2,<1 min,3,3,-1,0,unknown,no,0
57,50-66,entrepreneur,married,secondary,5657,High (2K+),no,yes,no,unknown,12,jun,146,2.43,1-3 mins,1,1,-1,0,unknown,no,0
39,35-49,management,single,secondary,120,Low (0-500),no,no,no,unknown,12,jun,66,1.1,1-3 mins,1,1,-1,0,unknown,no,0
59,50-66,management,married,tertiary,3165,High (2K+),no,yes,no,unknown,12,jun,278,4.63,3-5 mins,2,2,-1,0,unknown,no,0
49,35-49,blue-collar,married,tertiary,1784,Medium (500-2K),no,no,no,unknown,12,jun,753,12.55,10+ mins,1,1,-1,0,unknown,no,0
51,50-66,services,married,secondary,209,Low (0-500),no,no,no,unknown,12,jun,93,1.55,1-3 mins,1,1,-1,0,unknown,no,0
54,50-66,management,married,tertiary,292,Low (0-500),no,no,no,unknown,12,jun,120,2.0,1-3 mins,1,1,-1,0,unknown,no,0
43,35-49,services,married,secondary,0,Negative,no,no,no,unknown,12,jun,105,1.75,1-3 mins,1,1,-1,0,unknown,no,0
45,35-49,technician,divorced,secondary,29,Low (0-500),no,no,no,unknown,12,jun,385,6.42,5-10 mins,1,1,-1,0,unknown,no,0
36,35-49,housemaid,married,secondary,2880,High (2K+),no,no,no,unknown,12,jun,283,4.72,3-5 mins,1,1,-1,0,unknown,no,0
48,35-49,technician,married,unknown,74,Low (0-500),no,no,no,unknown,12,jun,181,3.02,3-5 mins,1,1,-1,0,unknown,no,0
50,50-66,unemployed,married,secondary,5164,High (2K+),no,no,no,unknown,12,jun,117,1.95,1-3 mins,5,5,-1,0,unknown,no,0
39,35-49,admin.,married,secondary,1221,Medium (500-2K),no,no,no,unknown,12,jun,97,1.62,1-3 mins,1,1,-1,0,unknown,no,0
36,35-49,services,single,primary,183,Low (0-500),no,no,no,unknown,12,jun,167,2.78,1-3 mins,5,5,-1,0,unknown,no,0
39,35-49,self-employed,married,tertiary,2630,High (2K+),no,no,no,unknown,12,jun,651,10.85,10+ mins,5,5,-1,0,unknown,yes,1
49,35-49,blue-collar,married,primary,518,Medium (500-2K),no,yes,no,unknown,12,jun,223,3.72,3-5 mins,1,1,-1,0,unknown,no,0
51,50-66,housemaid,married,primary,2499,High (2K+),no,no,no,unknown,12,jun,309,5.15,5-10 mins,5,5,-1,0,unknown,no,0
57,50-66,blue-collar,married,unknown,108,Low (0-500),no,no,no,unknown,12,jun,98,1.63,1-3 mins,1,1,-1,0,unknown,no,0
43,35-49,services,married,secondary,2478,High (2K+),no,yes,no,unknown,12,jun,157,2.62,1-3 mins,1,1,-1,0,unknown,no,0
53,50-66,self-employed,married,tertiary,4397,High (2K+),no,yes,no,unknown,12,jun,252,4.2,3-5 mins,1,1,-1,0,unknown,no,0
49,35-49,management,married,tertiary,-470,Negative,no,yes,no,unknown,12,jun,691,11.52,10+ mins,1,1,-1,0,unknown,no,0
45,35-49,housemaid,divorced,primary,221,Low (0-500),no,no,no,unknown,12,jun,93,1.55,1-3 mins,1,1,-1,0,unknown,no,0
42,35-49,blue-collar,married,secondary,273,Low (0-500),no,no,no,unknown,12,jun,315,5.25,5-10 mins,1,1,-1,0,unknown,no,0
37,35-49,housemaid,married,secondary,187,Low (0-500),no,no,no,unknown,12,jun,165,2.75,1-3 mins,1,1,-1,0,unknown,no,0
57,50-66,entrepreneur,married,unknown,657,Medium (500-2K),no,no,no,unknown,12,jun,344,5.73,5-10 mins,1,1,-1,0,unknown,no,0
58,50-66,retired,married,primary,657,Medium (500-2K),no,yes,no,unknown,12,jun,128,2.13,1-3 mins,2,2,-1,0,unknown,no,0
36,35-49,blue-collar,married,primary,398,Low (0-500),no,yes,no,unknown,12,jun,278,4.63,3-5 mins,1,1,-1,0,unknown,no,0
